GendEL ID;Biased occupation;Stereotypical gender of occupation;Biased adjective;ENGLISH;Type;Gender;One correct translation;Alternative 1 [M];Alternative 2 [F];Alternative 3 [N];HT gender
1;driver;M;;The driver finished the work.;ambiguous base;N;;Ο οδηγός τελείωσε τη δουλειά. ;Η οδηγός τελείωσε τη δουλειά. ;Το άτομο που οδηγούσε τελείωσε τη δουλειά. ;M-F-N
2;driver;M;debonair;The debonair driver finished the work.;ambiguous + male-biased adj.;N;;Ο ευγενής οδηγός τελείωσε τη δουλειά. ;Η ευγενής οδηγός τελείωσε τη δουλειά. ;Το ευγενές άτομο που οδηγούσε τελείωσε τη δουλειά. ;M-F-N
3;driver;M;blonde;The blonde driver finished the work.;ambiguous + female-biased adj.;N;;Ο ξανθός οδηγός τελείωσε τη δουλειά. ;Η ξανθιά οδηγός τελείωσε τη δουλειά. ;Το ξανθό άτομο που οδηγούσε τελείωσε τη δουλειά. ;M-F-N
4;driver;M;;The driver finished his work.;unambiguous [Male];M;Ο οδηγός τελείωσε τη δουλειά του. ;;;;M
5;driver;M;;The driver finished her work.;unambiguous [Female];F;Η οδηγός τελείωσε τη δουλειά της.;;;;F
6;driver;M;;The driver finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που οδηγούσε τελείωσε τη δουλειά του. ;;;;N
7;carpenter;M;;The carpenter finished the work.;ambiguous base;N;;Ο ξυλουργός τελείωσε τη δουλειά.;Η ξυλουργός τελείωσε τη δουλειά.;Το άτομο που εργάζεται στο ξυλουργείο τελείωσε τη δουλειά.;M-F-N
8;carpenter;M;grizzled;The grizzled carpenter finished the work.;ambiguous + male-biased adj.;N;;Ο ταλαιπωρημένος ξυλουργός τελείωσε τη δουλειά.;Η ταλαιπωρημένη ξυλουργός τελείωσε τη δουλειά.;Το ταλαιπωρημένο άτομο που εργάζεται στο ξυλουργείο τελείωσε τη δουλειά.;M-F-N
9;carpenter;M;bubbly;The bubbly carpenter finished the work.;ambiguous + female-biased adj.;N;;Ο ζωηρός ξυλουργός τελείωσε τη δουλειά.;Η ζωηρή ξυλουργός τελείωσε τη δουλειά.;Το ζωηρό άτομο που εργάζεται στο ξυλουργείο τελείωσε τη δουλειά.;M-F-N
10;carpenter;M;;The carpenter finished his work.;unambiguous [Male];M;Ο ξυλουργός τελείωσε τη δουλειά του.;;;;M
11;carpenter;M;;The carpenter finished her work.;unambiguous [Female];F;Η ξυλουργός τελείωσε τη δουλειά της.;;;;F
12;carpenter;M;;The carpenter finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που εργάζεται στο ξυλουργείο τελείωσε τη δουλειά του.;;;;N
13;construction worker;M;;The construction worker finished the work.;ambiguous base;N;;Ο οικοδόμος τελείωσε τη δουλειά.;Η οικοδόμος τελείωσε τη δουλειά.;Το άτομο που χτίζει την οικοδομή τελείωσε τη δουλειά.;M-F-N
14;construction worker;M;arrogant;The arrogant construction worker finished the work.;ambiguous + male-biased adj.;N;;Ο αλαζονικός οικοδόμος τελείωσε τη δουλειά.;Η αλαζονική οικοδόμος τελείωσε τη δουλειά.;Το αλαζονικό άτομο που χτίζει την οικοδομή τελείωσε τη δουλειά.;M-F-N
15;construction worker;M;sassy;The sassy construction worker finished the work.;ambiguous + female-biased adj.;N;;Ο αυθάδης οικοδόμος τελείωσε τη δουλειά.;Η αυθάδης οικοδόμος τελείωσε τη δουλειά.;Το αυθάδες άτομο που χτίζει την οικοδομή τελείωσε τη δουλειά.;M-F-N
16;construction worker;M;;The construction worker finished his work.;unambiguous [Male];M;Ο οικοδόμος τελείωσε τη δουλειά του.;;;;M
17;construction worker;M;;The construction worker finished her work.;unambiguous [Female];F;Η οικοδόμος τελείωσε τη δουλειά της.;;;;F
18;construction worker;M;;The construction worker finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που χτίζει την οικοδομή τελείωσε τη δουλειά του.;;;;N
19;laborer;M;;The laborer finished the work.;ambiguous base;N;;Ο εργάτης τελείωσε τη δουλειά.;Η εργάτρια τελείωσε τη δουλειά.;Το μέλος του εργατικού προσωπικού τελείωσε τη δουλειά.;M-F-N
20;laborer;M;jovial;The jovial laborer finished the work.;ambiguous + male-biased adj.;N;;Ο πρόσχαρος εργάτης τελείωσε τη δουλειά.;Η πρόσχαρη εργάτρια τελείωσε τη δουλειά.;Το πρόσχαρο μέλος του εργατικού προσωπικού τελείωσε τη δουλειά.;M-F-N
21;laborer;M;blonde;The blonde laborer finished the work.;ambiguous + female-biased adj.;N;;Ο ξανθός εργάτης τελείωσε τη δουλειά.;Η ξανθιά εργάτρια τελείωσε τη δουλειά.;Το ξανθό μέλος του εργατικού προσωπικού τελείωσε τη δουλειά.;M-F-N
22;laborer;M;;The laborer finished his work.;unambiguous [Male];M;Ο εργάτης τελείωσε τη δουλειά του.;;;;M
23;laborer;M;;The laborer finished her work.;unambiguous [Female];F;Η εργάτρια τελείωσε τη δουλειά της.;;;;F
24;laborer;M;;The laborer finished their work.;ambiguous / unambiguous [Non-binary];N;Το μέλος του εργατικού προσωπικού τελείωσε τη δουλειά του.;;;;N
25;mechanic;M;;The mechanic finished the work.;ambiguous base;N;;Ο μηχανικός τελείωσε τη δουλειά.;Η μηχανικός τελείωσε τη δουλειά.;Το άτομο που επισκευάσει μηχανές τελείωσε τη δουλειά.;M-F-N
26;mechanic;M;suave;The suave mechanic finished the work.;ambiguous + male-biased adj.;N;;Ο ευγενικός μηχανικός τελείωσε τη δουλειά.;Η ευγενική εργάτρια τελείωσε τη δουλειά.;Το ευγενικό άτομο που επισκευάσει μηχανές τελείωσε τη δουλειά.;M-F-N
