Occupation,Biased gender of occupation,English source,Type,EN Gender,Google Translate,Google gender,DeepL,,DeepL gender
,,,,,,,Alternative 1,Alternative 2 ,
driver,M,The driver finished the work.,ambiguous base,N,Ο οδηγός τελείωσε τη δουλειά.,M,Ο οδηγός τελείωσε τη δουλειά.,,M
driver,M,The debonair driver finished the work.,ambiguous + male-biased adj.,N,Ο ντεμπαζέ οδηγός τελείωσε τη δουλειά.,M,Ο ευγενικός οδηγός τελείωσε τη δουλειά.,,M
driver,M,The blonde driver finished the work.,ambiguous + female-biased adj.,N,Ο ξανθός οδηγός τελείωσε τη δουλειά.,M,Ο ξανθός οδηγός τελείωσε τη δουλειά.,,M
driver,M,The driver finished his work.,unambiguous [Male],M,Ο οδηγός τελείωσε τη δουλειά του.,M,Ο οδηγός τελείωσε τη δουλειά του.,,M
driver,M,The driver finished her work.,unambiguous [Female],F,Ο οδηγός τελείωσε τη δουλειά της.,error [2],Η οδηγός τελείωσε τη δουλειά της.,,F
driver,M,The driver finished their work.,ambiguous / unambiguous [Non-binary],N,Ο οδηγός τελείωσε τη δουλειά του.,M,Ο οδηγός τελείωσε τη δουλειά του.,,M
carpenter,M,The carpenter finished the work.,ambiguous base,N,Ο ξυλουργός τελείωσε τη δουλειά.,M,Ο ξυλουργός τελείωσε τη δουλειά.,,M
carpenter,M,The grizzled carpenter finished the work.,ambiguous + male-biased adj.,N,Ο γκριζαρισμένος μάστορας τελείωσε τη δουλειά.,M,Ο γεροδεμένος ξυλουργός τελείωσε τη δουλειά.,,M
carpenter,M,The bubbly carpenter finished the work.,ambiguous + female-biased adj.,N,Ο φουσκωτός μάστορας τελείωσε τη δουλειά.,M,Ο ζωηρός ξυλουργός τελείωσε τη δουλειά.,,M
carpenter,M,The carpenter finished his work.,unambiguous [Male],M,Ο ξυλουργός τελείωσε τη δουλειά του.,M,Ο ξυλουργός τελείωσε τη δουλειά του.,,M
carpenter,M,The carpenter finished her work.,unambiguous [Female],F,Ο ξυλουργός τελείωσε τη δουλειά της.,error [2],Η ξυλουργός τελείωσε τη δουλειά της.,,F
carpenter,M,The carpenter finished their work.,ambiguous / unambiguous [Non-binary],N,Ο μάστορας τελείωσε τη δουλειά τους.,error [2],Ο ξυλουργός τελείωσε τη δουλειά του.,,M
construction worker,M,The construction worker finished the work.,ambiguous base,N,Ο οικοδόμος τελείωσε τις εργασίες.,M,Ο οικοδόμος τελείωσε το έργο.,,M
construction worker,M,The arrogant construction worker finished the work.,ambiguous + male-biased adj.,N,Ο αγέρωχος εργάτης οικοδομών τελείωσε τη δουλειά.,M,Ο αλαζόνας οικοδόμος τελείωσε το έργο.,,M
construction worker,M,The sassy construction worker finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης εργάτης ολοκλήρωσε τη δουλειά.,M,Ο αυθάδης οικοδόμος τελείωσε το έργο.,,M
construction worker,M,The construction worker finished his work.,unambiguous [Male],M,Ο οικοδόμος τελείωσε τη δουλειά του.,M,Ο οικοδόμος τελείωσε τη δουλειά του.,,M
construction worker,M,The construction worker finished her work.,unambiguous [Female],F,Η οικοδομή τελείωσε τη δουλειά της.,error [1],Η οικοδόμος τελείωσε τη δουλειά της.,,F
construction worker,M,The construction worker finished their work.,ambiguous / unambiguous [Non-binary],N,Ο οικοδόμος τελείωσε τη δουλειά του.,M,Οι οικοδόμοι τελείωσαν τη δουλειά τους.,,error [1]
laborer,M,The laborer finished the work.,ambiguous base,N,Ο εργάτης τελείωσε τη δουλειά.,M,Ο εργάτης τελείωσε τη δουλειά.,,M
laborer,M,The jovial laborer finished the work.,ambiguous + male-biased adj.,N,Ο εύθυμος εργάτης τελείωσε τη δουλειά.,M,Ο χαρούμενος εργάτης τελείωσε τη δουλειά.,,M
laborer,M,The blonde laborer finished the work.,ambiguous + female-biased adj.,N,Ο ξανθός εργάτης τελείωσε τη δουλειά.,M,Ο ξανθός εργάτης τελείωσε τη δουλειά.,,M
laborer,M,The laborer finished his work.,unambiguous [Male],M,Ο εργάτης τελείωσε τη δουλειά του.,M,Ο εργάτης τελείωσε τη δουλειά του.,,M
laborer,M,The laborer finished her work.,unambiguous [Female],F,Η εργάτρια τελείωσε τη δουλειά της.,F,Η εργάτρια τελείωσε τη δουλειά της.,,F
laborer,M,The laborer finished their work.,ambiguous / unambiguous [Non-binary],N,Ο εργάτης τελείωσε τη δουλειά του.,M,Οι εργάτες τελείωσαν τη δουλειά τους.,,error [1]
mechanic,M,The mechanic finished the work.,ambiguous base,N,Ο μηχανικός τελείωσε τη δουλειά.,M,Ο μηχανικός τελείωσε τη δουλειά.,,M
