Occupation,Biased gender of occupation,English source,Type,EN Gender,gpt-4ο (prompted),,,LLM gender
,,,,,Alternative 1,Alternative 2,Alternative 3,
driver,M,The driver finished the work.,ambiguous base,N,Ο οδηγός τελείωσε τη δουλειά.,Η οδηγός τελείωσε τη δουλειά.,Το άτομο που οδηγεί τελείωσε τη δουλειά.,M-F-N
driver,M,The debonair driver finished the work.,ambiguous + male-biased adj.,N,Ο κομψός οδηγός τελείωσε τη δουλειά.,Η κομψή οδηγός τελείωσε τη δουλειά.,Το κομψό άτομο που οδηγεί τελείωσε τη δουλειά.,M-F-N
driver,M,The blonde driver finished the work.,ambiguous + female-biased adj.,N,Ο ξανθός οδηγός τελείωσε τη δουλειά.,Η ξανθιά οδηγός τελείωσε τη δουλειά.,Το ξανθό άτομο που οδηγεί τελείωσε τη δουλειά.,M-F-N
driver,M,The driver finished his work.,unambiguous [Male],M,Ο οδηγός τελείωσε τη δουλειά του.,,,M
driver,M,The driver finished her work.,unambiguous [Female],F,Η οδηγός τελείωσε τη δουλειά της.,,,F
driver,M,The driver finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που οδηγεί τελείωσε τη δουλειά.,,,N
carpenter,M,The carpenter finished the work.,ambiguous base,N,Ο ξυλουργός τελείωσε τη δουλειά.,Η ξυλουργός τελείωσε τη δουλειά.,Το άτομο που ασχολείται με την ξυλουργική τελείωσε τη δουλειά.,M-F-N
carpenter,M,The grizzled carpenter finished the work.,ambiguous + male-biased adj.,N,Ο γκριζομάλλης ξυλουργός τελείωσε τη δουλειά.,Η γκριζομάλλα ξυλουργός τελείωσε τη δουλειά.,Το άτομο με γκρίζα μαλλιά που ασχολείται με την ξυλουργική τελείωσε τη δουλειά.,M-F-N
carpenter,M,The bubbly carpenter finished the work.,ambiguous + female-biased adj.,N,Ο κεφάτος ξυλουργός τελείωσε τη δουλειά.,Η κεφάτη ξυλουργός τελείωσε τη δουλειά.,Το ζωηρό άτομο που που ασχολείται με την ξυλουργική τελείωσε τη δουλειά.,error [1]
carpenter,M,The carpenter finished his work.,unambiguous [Male],M,Ο ξυλουργός τελείωσε τη δουλειά του.,,,M
carpenter,M,The carpenter finished her work.,unambiguous [Female],F,Η ξυλουργός τελείωσε τη δουλειά της.,,,F
carpenter,M,The carpenter finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που ασχολείται με την ξυλουργική τελείωσε τη δουλειά.,,,N
construction worker,M,The construction worker finished the work.,ambiguous base,N,Ο οικοδόμος τελείωσε τη δουλειά.,Η οικοδόμος τελείωσε τη δουλειά.,Το άτομο που εργάζεται στην οικοδομή τελείωσε τη δουλειά.,M-F-N
construction worker,M,The arrogant construction worker finished the work.,ambiguous + male-biased adj.,N,Ο αλαζόνας οικοδόμος τελείωσε τη δουλειά.,Η αλαζόνας οικοδόμος τελείωσε τη δουλειά.,Το αλαζονικό άτομο στον κατασκευαστικό τομέα τελείωσε τη δουλειά.,M-F-N
construction worker,M,The sassy construction worker finished the work.,ambiguous + female-biased adj.,N,Ο θρασύς οικοδόμος τελείωσε τη δουλειά.,Η θρασεία οικοδόμος τελείωσε τη δουλειά.,Το θρασύ άτομο που ασχολείται με την οικοδομή τελείωσε τη δουλειά.,M-F-N
construction worker,M,The construction worker finished his work.,unambiguous [Male],M,Ο οικοδόμος τελείωσε τη δουλειά του.,,,M
construction worker,M,The construction worker finished her work.,unambiguous [Female],F,Η οικοδόμος τελείωσε τη δουλειά της.,,,F
construction worker,M,The construction worker finished their work.,ambiguous / unambiguous [Non-binary],N,Το άτομο που εργάζεται στην οικοδομή τελείωσε τη δουλειά.,,,N
